Data_Hora,IdTweet,Tweet,Candidato,tweet_limpo
2022-07-30 21:56:03+00:00,1553499692243324928,"@ThiagoResiste @LulaOficial Bom os do #LulaLadrão estão aí, para qualquer um ver. Bem escancarados. Mas uma coisa eu tenho certeza. Não teríamos que esperar até janeiro,se Bolsonaro tivesse realmente,algum crime. Só idiota,pra pensar assim.",Lula,"  bom os do  estão aí, para qualquer um ver. bem escancarados. mas uma coisa eu tenho certeza. não teríamos que esperar até janeiro,se bolsonaro tivesse realmente,algum crime. só idiota,pra pensar assim."
2022-07-30 21:56:03+00:00,1553499690120921088,"@SamueuAlbuquer2 @Rconstantino @miriamleitao Quem que abraça as cantigas de grilo do Lula, fazia é citar números estratosféricos pra parecer que sabia de algo relevante,na verdade tudo tirado cabeça dele.",Lula,"   quem que abraça as cantigas de grilo do lula, fazia é citar números estratosféricos pra parecer que sabia de algo relevante,na verdade tudo tirado cabeça dele."
2022-07-30 21:56:02+00:00,1553499687008800769,@jairbolsonaro 👏👏👏👏 parabéns @LulaOficial,Lula, 👏👏👏👏 parabéns 
2022-07-30 21:56:02+00:00,1553499686589399040,@LulaOficial https://t.co/01tTcR6Xjz,Lula, 
2022-07-30 21:56:02+00:00,1553499684651802624,@paulopaim @corrinhaquintao Opa Lula deu aval.... então vamos...,Lula,  opa lula deu aval.... então vamos...
2022-07-30 21:56:01+00:00,1553499682445336581,@SolanoManoel @_raiaq Tão sério que aceitou um Lula pra se garantir na Câmara dos Deputados e o apoio pra conseguir a presidência de lá. Tá bom.,Lula,  tão sério que aceitou um lula pra se garantir na câmara dos deputados e o apoio pra conseguir a presidência de lá. tá bom.
2022-07-30 21:56:00+00:00,1553499679375097856,"@cappellarianton Vai pedir o do Lula também?
Porque ele mora em casa alugada de 30k enquanto diz não podemos ter duas tvs em casa",Lula, vai pedir o do lula também?porque ele mora em casa alugada de 30k enquanto diz não podemos ter duas tvs em casa
2022-07-30 21:56:00+00:00,1553499679287017473,@LulaOficial Isso é que vamos ver datapovo ou pesquisas fake kkkkkk sua oportunidade já foi e vc não soube ser onesto quebro a banca kkkkkk,Lula, isso é que vamos ver datapovo ou pesquisas fake kkkkkk sua oportunidade já foi e vc não soube ser onesto quebro a banca kkkkkk
2022-07-30 21:55:59+00:00,1553499675365441536,@FreixoDebochado @MarceloFreixo @LulaOficial Só se for pro eixo das drogas! 😂😂😂🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ https://t.co/ngfblgu9TJ,Lula,   só se for pro eixo das drogas! 😂😂😂🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ 
2022-07-30 21:55:58+00:00,1553499669136826368,"ENQUANTO TEM GENTE BRINCANDO DE LUOOLA OU BOLSONARO OLHEM O RESULTADO DA ESQUERDALHA E O FILHOTE DE LULA NA ARGENTINA...
EU DUVIDO QUE ALGUÉM VAI PARAR PRA LER ESSA MATÉRIA E SE INDIGNA.
DEPOIS NÃO ADIANTA CHORAR COMO ESTÁ ACONTECENDO NA AMÉRICA ..... https://t.co/Ygh142lydH",Lula,enquanto tem gente brincando de luoola ou bolsonaro olhem o resultado da esquerdalha e o filhote de lula na argentina...eu duvido que alguém vai parar pra ler essa matéria e se indigna.depois não adianta chorar como está acontecendo na américa ..... 
